XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomLAC	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR
bicarbonate_ion	-0.23	62.000393924	0	0	1.24	0	4	3	3	0	6	0	0	0.1623	0.02634129	9.4982
biclotymol	7.049	380.130985432001	1	4	3.33	0	7	3	26	0	51	12	12	6.4052	41.02658704	106.4892
bifonazole	5.491	310.146998576	1	4	3.66	0	12	0	27	0	42	23	23	4.6372	21.50362384	97.9411
bimatoprost	3.154	415.272258664001	1	13	3.66	7	6	10	31	0	67	6	6	-0.265399999999998	0.070437159999999	114.626
biotin	0.463	244.088163372	0	5	1.9	5	4	6	17	0	32	0	0	-1.2457	1.55176849	53.1453
biperiden	4.104	311.224914548001	0	5	3.55	3	6	4	26	1	52	6	6	-0.500700000000001	0.250700490000001	87.6035
bis-peg-ppg-14-14_dimethicone	3.72	528.900502613631	2	22	2.67	3	0	25	32	0	85	0	0	4.344	18.870336	124.1376
bisacodyl	3.851	361.131408088001	0	7	3.33	0	9	3	29	0	46	18	18	3.9912	15.92967744	101.1828
bismuth	0	208.9803987	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
bismuth_subcarbonate	-0.322	509.968557934635	1	4	0.8	0	8	7	7	0	8	0	0	0.4131	0.17065161	10.5288
bismuth_subgallate	0.39	395.099624065887	0	1	1.46	0	12	3	14	0	20	6	6	0.9296	0.86415616	36.0435
bismuth_subnitrate	-4.279	1461.9871815191	1	0	-1.95	0	4	3	12	0	40	0	0	4.964	24.641296	35.3436
bismuth_subsalicylate	NA	134.089247567876	NA	1	1.9	0	10	3	10	NA	12	6	6	-0.053	0.002809	17.1385
bisoprolol	2.163	325.225308472001	1	12	2.89	3	7	7	23	1	54	6	6	0.606000000000001	0.367236000000001	92.7408
bitolterol	5.838	461.550496323546	1	10	3.88	3	24	6	36	1	65	18	18	5.6247	31.63725009	131.7649
bivalirudin	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
bleomycin	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
boceprevir	2.829	519.342069540001	0	14	3.33	4	5	8	39	0	82	0	0	0.0806999999999984	0.00651248999999975	129.9912
bopindolol	5.025	380.209992756001	1	9	3.44	3	10	8	30	1	56	16	15	4.7583	22.64141889	111.0695
boric_acid	-1.401	62.017524356	0	0	1.02	0	0	3	3	0	7	0	0	-1.3809	1.90688481	7.6938
bornaprine	5.225	329.477130263322	1	9	3.44	3	6	9	26	1	55	6	6	4.1711	17.39807521	98.2855
boron	0	10.8110280884	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
bortezomib	1.011	384.196885680001	0	11	2.56	4	9	10	29	0	53	12	12	-0.270699999999999	0.0732784899999994	95.6569
bosentan	3.854	551.183854648001	1	11	3.11	2	31	4	42	0	68	24	24	4.1858	17.52092164	141.0296
bosutinib	3.635	529.164745148001	0	9	3.22	3	22	4	39	2	65	17	16	5.4247	29.42737009	139.6575
bretylium	2.803	242.054436644	0	3	2.45	0	6	4	13	2	30	6	6	1.675	2.80562500000001	59.2409
brimonidine	1.176	291.01195742	0	2	2.01	0	14	0	19	3	27	11	10	1.3484	1.81818256	64.8517
brinzolamide	-1.597	383.064333772001	0	7	1.57	3	13	5	24	1	44	5	5	-1.1331	1.28391561	84.9181
brivudine	-0.198	332.000783616	0	3	1.79	2	10	3	20	0	32	6	6	-0.0768999999999997	0.00591360999999996	59.5389
bromazepam	1.789	315.00072404	0	1	2.45	0	17	0	21	0	29	12	12	2.5584	6.54541056	74.3292
bromfenac	3.413	333.000055344	0	4	2.56	2	15	3	21	0	32	12	12	3.0026	9.01560676	80.1892
bromhexine	4.38	373.999322840001	0	3	2.56	0	7	3	19	1	38	6	6	1.1885	1.41253225	76.7308
bromine	1.7	159.8070559417	0	0	1.24	0	0	2	1	0	2	0	0	1.1892	1.41419664	17.4704
bromocriptine	3.791	653.221281480001	0	6	3.77	3	11	3	49	1	83	10	9	1.5666	2.45423556	159.9328
bromopride	2.022	343.089539044001	0	8	2.34	2	11	8	20	1	42	6	6	1.9033	3.62255089000001	84.5511
bromperidol	4.196	419.089619296001	0	6	3.22	4	8	5	28	1	49	12	12	2.9165	8.50597225	99.5087
brompheniramine	3.414	318.073160708001	0	5	2.89	3	6	5	20	1	38	12	12	3.344	11.182336	82.934
brotizolam	5.432	391.9498071	1	1	2.34	0	18	0	25	0	32	16	16	3.875	15.015625	93.7889
buclizine	7.14	432.233226736001	1	6	4.21	0	6	3	34	2	64	18	18	7.2488	52.54510144	132.9418
budesonide	1.914	430.235538808001	0	4	3.55	3	6	4	35	0	65	0	0	-1.4041	1.97149681000001	111.7147
bufexamac	2.066	223.120843404	0	7	2.34	4	7	5	16	0	33	6	6	0.109499999999999	0.0119902499999999	57.2779
buflomedil	2.191	307.178358280001	0	8	2.78	4	11	5	23	1	47	6	6	1.1118	1.23609924000001	80.5193
bumetanide	2.573	364.109292740001	0	8	2.45	4	21	5	26	0	45	12	12	1.4466	2.09265156	89.6346
bunazosin	2.226	373.211389724001	0	6	2.67	4	14	5	29	0	54	11	10	0.450700000000004	0.203130490000003	101.6972
bupivacaine	3.57	288.220163516001	0	6	3.11	4	9	4	22	1	49	6	6	0.6345	0.40259025	79.025
bupivacaine_liposome	3.57	288.428398590947	0	6	3.11	4	9	4	22	1	49	6	6	4.4169	19.50900561	88.4864
bupranolol	3.238	271.783449779558	0	6	2.56	3	7	7	18	1	40	6	6	2.9876	8.92575376	74.8579
buprenorphine	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
bupropion	3.633	239.107691876	0	4	2.56	3	8	6	16	1	34	6	6	2.8592	8.17502463999999	67.7881
buserelin	0.0719999999999971	1238.656026812	3	43	4.87	5	9	28	94	3	175	21	20	-4.3821	19.20280041	302.457
buspirone	2.377	385.247775232001	0	6	3	4	7	4	31	1	59	6	6	-1.8484	3.41658255999998	102.1906
busulfan	-1.232	246.023180168	0	7	1.24	4	4	10	13	0	28	0	0	-1.1338	1.28550244	46.6246
butabarbital	1.51	212.116092372	0	3	2.01	4	8	4	15	0	31	0	0	-1.0409	1.08347281	50.1422
butalbital	1.713	224.116092372	0	4	2.12	3	8	3	16	0	32	0	0	0.678299999999999	0.460090889999998	56.3703
butamben	2.491	193.24271923423	0	5	2.34	4	10	7	14	0	29	6	6	2.2675	5.14155625	56.1591
butamirate	3.062	307.428445992876	1	12	3	4	6	13	22	1	51	6	6	3.3443	11.18434249	89.8688
butane	2.616	58.1223511254099	0	1	1.9	4	0	4	3	0	14	0	0	2.1964	4.82417295999999	20.2062
butenafine	6.566	317.214349864001	1	5	3.88	0	10	3	26	1	51	17	16	5.7959	33.59245681	104.3294
butoconazole	6.721	410.017802584	1	7	2.89	4	6	4	27	0	42	17	17	6.0029	36.03480841	107.0788
butorphanol	3.266	327.219829168001	0	2	3.44	0	7	0	28	1	53	6	6	0.226499999999996	0.051302249999998	89.0392
butylscopolamine	1.945	360.217483440001	0	8	3.22	4	6	5	29	2	56	6	6	-1.8471	3.41177840999999	89.3498
cabazitaxel	3.014	835.377905504001	2	16	4.76	3	9	9	65	0	117	12	12	3.3157	10.99386649	210.0281
cabergoline	2.867	451.294725424001	0	11	3.55	3	9	10	36	2	70	10	9	1.7339	3.00640921000001	129.7474
cabozantinib	4.582	501.169999088001	0	10	3.55	0	22	3	41	0	61	23	22	3.935	15.484225	132.5969
cafedrine	1.025	357.407614298065	0	6	2.56	3	11	6	28	1	49	11	11	0.9532	0.90859024	97.0511
caffeine	-0.153	194.08037556	0	0	1.68	0	11	0	15	0	24	10	9	0.496800000000001	0.246810240000001	42.8759
calamine	0	241.083473614252	0	0	0.69	0	0	0	0	0	7	0	0	0	0	0
calcifediol	7.464	418.344695332001	1	6	4.1	7	6	7	31	0	76	0	0	1.3278	1.76305283999999	119.4333
calcipotriene	5.82	412.297745140001	1	5	4.1	5	6	6	33	0	70	0	0	0.559899999999998	0.313488009999998	120.3701
calcitonin	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
calcitriol	6.745	416.329045268001	1	6	4.1	7	6	7	32	0	74	0	0	0.754699999999995	0.569572089999993	120.5304
calcium_acetate	-1.122	157.989199652	0	0	1.35	2	2	3	6	0	15	0	0	NA	NA	NA
calcium_alginate	-6.549	584.45054050981	3	7	1.24	0	3	3	39	0	62	0	0	-6.7361	45.37504321	96.0219
calcium_ascorbate	-0.356	390.011116868	2	4	1.35	2	7	4	24	0	39	0	0	NA	NA	NA
calcium_aspartate	-4.669	170.98444862	0	3	1.24	4	2	6	8	1	15	0	0	NA	NA	NA
calcium_bicarbonate	-1.422	162.111805518632	0	0	0.91	0	4	3	6	0	11	0	0	-1.031	1.062961	14.4408
calcium_carbimide	0.941	79.96873898	0	0	1.24	0	3	3	2	0	4	0	0	NA	NA	NA
calcium_carbonate	-1.192	99.94733484	0	0	1.13	0	3	3	3	0	5	0	0	NA	NA	NA
calcium_carbonate,_precipitated	-1.192	99.94733484	0	0	1.13	0	3	3	3	0	5	0	0	NA	NA	NA
calcium_chloride	1.024	109.90029634	0	0	1.13	0	0	0	0	0	3	0	0	NA	NA	NA
calcium_citrate	-7.38	497.89482794	1	10	0.91	5	2	7	24	0	39	0	0	NA	NA	NA
calcium	0	41.978241044	0	0	1.35	0	0	0	0	0	3	0	0	0	0	0
calcium_glubionate	-10.015	610.126934468001	3	13	1.13	6	2	8	36	0	73	0	0	NA	NA	NA
calcium_gluconate	-8.44	430.063546364001	2	10	1.13	6	2	8	24	0	49	0	0	NA	NA	NA
calcium_glycerophosphate	-3.109	209.960615554	0	4	0.91	3	5	7	9	0	18	0	0	NA	NA	NA
calcium_lactate	-2.144	218.01032902	0	2	1.35	3	2	4	10	0	23	0	0	NA	NA	NA
calcium_phosphate	-2.637	339.003208638	0	4	1.02	0	9	4	16	0	34	6	6	NA	NA	NA
calcium_phosphate_dibasic	-2.247	135.923836122	0	0	0.8	0	5	3	4	0	7	0	0	NA	NA	NA
calcium_pyruvate	-1.932	452.075723212	1	8	2.01	3	14	7	30	0	47	12	12	NA	NA	NA
camphor_--	2.127	152.233815956662	0	0	2.45	0	2	0	12	0	27	0	0	1.9358	3.74732163999999	44.492
camphor	2.127	152.120115132	0	0	2.45	0	1	0	12	0	27	0	0	0.969299999999998	0.939542489999996	43.7625
canagliflozin	5.937	906.291910924002	3	10	5.09	0	11	2	68	0	115	34	34	7.466	55.741156	236.3452
candesartan	6.052	440.159688500001	1	7	3.11	0	17	3	37	0	53	27	26	4.4211	19.54612521	125.4808
cannabinol	6.84	310.430723287157	1	4	3.55	5	14	5	25	0	49	12	12	6.1978	38.41272484	95.4483
canrenoate	3.409	358.214409440001	0	3	3.44	3	6	4	29	0	56	0	0	1.0428	1.08743184	100.3752
canrenoic_acid	3.409	358.214409440001	0	3	3.44	3	6	4	29	0	56	0	0	1.0428	1.08743184	100.3752
canrenone	4.229	340.203844756001	0	0	3.55	0	6	0	29	0	53	0	0	1.6518	2.72844324	96.883
capecitabine	0.787	359.149263644001	0	8	2.01	5	11	8	26	0	47	6	6	-1.212	1.46894399999999	74.3657
capreomycin	-6.57	1320.698394116	3	23	2.23	6	12	9	95	12	181	0	0	-18.7328	350.91779584	292.3063
capsaicin	4.316	305.199093724001	0	10	3	9	8	11	22	0	49	6	6	1.5223	2.31739729000001	85.3187
captan	2.268	298.934132536	0	2	1.68	0	5	3	17	0	24	0	0	3.2345	10.46199025	68.1818
captopril	0.638	217.07726434	0	4	1.9	3	3	5	14	0	29	0	0	-0.778699999999999	0.606373689999999	51.2769
carazolol	3.271	298.168127944001	0	6	3	3	14	7	24	1	44	15	13	2.2215	4.93506225	88.196
carbachol	-0.463	182.0822054	0	4	1.57	2	4	7	9	2	26	0	0	NA	NA	NA
carbamazepine	2.296	236.094963004	0	1	2.78	0	18	3	20	0	30	12	12	3.1411	9.86650921	70.1378
carbamide_peroxide	-2.73	94.070001616523	0	0	1.02	0	4	3	4	0	12	0	0	-1.9627	3.85219129	18.2718
carbaryl	2.713	201.078978592	0	3	2.45	0	14	4	16	0	26	11	10	2.6056	6.78915136	56.414
carbazochrome	-0.427	236.090940244	0	2	1.79	0	13	4	18	0	29	0	0	-1.3009	1.69234081	59.7557
carbenicillin	1.84	378.088557296	0	6	2.34	3	6	5	28	0	44	6	6	0.783	0.613089	89.9249
carbenoxolone	5.893	614.721549727415	2	6	4.21	4	4	6	45	2	91	0	0	4.3346	18.78875716	149.8324
carbetapentane	1.754	525.257396448001	2	16	3.11	5	6	11	37	1	76	6	6	-0.0220000000000009	0.000484000000000039	129.0341
carbidopa	-0.445	244.105921612	1	4	1.79	3	8	5	16	0	33	6	6	0.614299999999999	0.377364489999999	57.4286
carbimazole	1.218	186.04629856	0	3	1.68	0	9	5	12	0	22	5	5	1.7922	3.21198084	46.0369
carbinoxamine	2.617	290.118590908001	0	6	2.78	2	6	6	21	1	39	12	12	3.3931	11.51312761	83.2369
carbocysteine	-3.094	179.025228768	0	5	1.35	3	3	8	10	1	20	0	0	-0.9862	0.97259044	39.0512
carbon_dioxide	2.435	43.98982924	0	0	1.35	0	2	3	2	0	3	0	0	-0.1468	0.02155024	6.3844
carbon_monoxide	-0.467	27.99491462	0	0	1.46	0	1	2	1	0	2	0	0	0	0	0
carboplatin	-0.688	142.10967961396	0	2	1.68	0	2	3	10	0	16	0	0	-0.8364	0.69956496	26.3065
carboprost	3.313	368.256274252001	1	12	3.22	8	3	8	26	0	62	0	0	-2.0238	4.09576644000001	94.7621
carboxymethylcellulose	-3.405	240.208178656072	1	5	1.46	6	3	8	14	0	32	0	0	-2.9138	8.49023044	50.0644
carfilzomib	3.705	719.425799164002	2	24	4.54	5	6	16	55	1	109	12	12	1.1266	1.26922755999999	191.9737
carglumic_acid	-1.785	190.05897142	0	6	1.35	5	4	8	12	0	23	0	0	-1.5176	2.30310976	35.1648
carisoprodol	2.105	260.173607248	0	10	2.12	5	4	11	17	0	42	0	0	0.00529999999999942	2.80899999999938e-05	64.0036
carmustine	0.886	213.007181888	0	7	1.24	2	6	9	11	0	21	0	0	1.3048	1.70250304	46.1797
carnitine	-1.741	161.10519334	0	4	1.79	4	2	7	10	2	26	0	0	-2.5189	6.34485721	37.2555
carnosine	-4.099	226.106590308	0	7	1.68	3	5	8	16	1	30	5	5	-1.6268	2.64647824	54.3483
carpipramine	4.254	536.268481944001	0	6	3.66	3	13	3	37	2	78	12	12	0.999999999999998	0.999999999999995	123.6863
carprofen	3.794	273.055656304	0	2	2.67	3	13	4	21	0	31	15	13	3.7595	14.13384025	74.4646
carteolol	1.109	292.178692628001	0	6	2.67	3	10	7	22	1	45	6	6	1.2473	1.55575729	80.6732
carvedilol	3.762	406.189257312001	0	10	3.44	3	14	8	33	1	56	21	19	4.397	19.333609	115.4124
casanthranol	-0.413	434.394199692409	1	4	2.67	0	16	2	34	0	53	12	12	-0.474299999999999	0.224960489999999	104.2916
caspofungin	4.018	1092.643062116	3	24	4.43	14	7	15	80	3	165	6	6	-11.6027	134.62264729	254.2256
cefaclor	-1.796	367.039354608	0	5	2.12	2	8	4	26	1	38	6	6	0.224799999999999	0.0505350399999997	88.6128
cefadroxil	-2.598	363.088891644	0	5	2.23	2	8	4	27	1	42	6	6	0.162499999999999	0.0264062499999995	89.7976
cefamandole	0.2	462.078009676	0	8	2.01	2	8	4	34	0	49	11	11	0.432100000000001	0.186710410000001	117.1359
cefatrizine	-2.491	462.078009676	0	8	2.01	2	8	4	34	1	49	11	11	-0.0424000000000002	0.00179776000000002	116.0893
cefazolin	0.279	454.030013928	1	8	1.35	2	8	3	32	0	43	10	10	-0.785799999999999	0.617481639999999	112.6948
cefdinir	-2.081	395.035810516	0	6	1.68	2	12	5	28	0	39	5	5	-0.1182	0.0139712400000001	95.2074
cefditoren	1.728	620.118160236001	2	13	2.45	3	15	8	44	0	69	10	10	2.3318	5.43729124000001	156.7436
cefepime	-3.056	480.124959868001	0	8	2.12	2	12	6	35	2	56	5	5	-3.3218	11.03435524	113.4769
cefixime	-2.533	453.04128982	0	9	1.68	2	12	8	32	0	45	5	5	-0.679800000000002	0.462128040000002	107.5893
cefmetazole	-0.968	471.045329644	1	10	1.46	2	8	7	32	0	47	5	5	-0.2777	0.07711729	115.0611
cefodizime	-2.647	584.673926719629	2	11	1.79	2	12	6	40	0	57	10	10	0.7334	0.537875559999999	141.3559
cefonicid	-1.27	542.034824536	1	10	1.57	2	8	4	38	0	53	11	11	-0.2062	0.0425184400000001	126.5925
cefoperazone	-0.379	645.142400824001	1	12	2.12	2	9	6	48	0	71	11	11	-0.257699999999998	0.0664092899999991	157.9308
cefotaxime	-2.712	455.056939884	0	9	1.68	2	12	6	32	0	47	5	5	-0.8308	0.690228640000001	106.5265
cefotetan	-1.477	575.002144504	1	10	1.24	3	8	5	39	0	53	5	5	0.226299999999998	0.0512116899999993	132.5279
cefotiam	-3.043	525.103513216001	1	11	1.68	2	8	4	37	1	57	10	10	-0.0526999999999982	0.00277728999999981	135.9554
cefoxitin	-1.447	427.050791884	0	9	1.9	2	8	4	30	0	45	5	5	0.608599999999998	0.370393959999998	98.3136
cefpirome	-0.855	514.109309804001	0	8	2.45	2	12	6	39	1	57	11	11	-2.10679999999999	4.43860623999998	122.9756
cefpodoxime	-2.933	427.062025264	0	8	1.68	2	12	6	30	0	45	5	5	-0.801400000000001	0.642241960000001	102.1262
cefprozil	-2.041	407.115106392001	0	6	2.34	3	10	4	29	1	49	6	6	0.4278	0.18301284	100.3466
ceftaroline	0.776	684.010280262001	2	12	1.57	2	16	7	47	1	64	16	16	-1.4294	2.04318436	155.6043
ceftazidime	-1.186	546.099139044001	0	10	2.23	3	12	8	40	1	59	11	11	-2.0017	4.00680289	127.3312
ceftibuten	-2.771	410.035476168	0	7	1.79	5	11	7	29	0	41	5	5	-0.4906	0.24068836	98.1731
ceftizoxime	-2.266	383.035810516	0	6	1.57	2	12	6	27	0	38	5	5	-0.565600000000001	0.319903360000001	91.3183
ceftriaxone	-2.005	554.046057916	1	9	1.46	2	12	6	39	0	54	11	11	-0.257300000000001	0.0662032900000005	128.3562
cefuroxime	-0.803	424.068884472	0	9	1.79	2	11	6	31	0	45	5	5	-0.117500000000002	0.0138062500000005	95.0397
celecoxib	3.892	381.075882348	0	4	2.34	0	21	3	28	0	40	17	17	4.6357	21.48971449	90.6342
celiprolol	1.938	379.247106536001	0	12	2.89	3	13	7	27	1	60	6	6	1.7583	3.09161889	104.6044
cellulose	-3.663	342.296981548886	2	4	1.57	0	0	2	24	0	45	0	0	-4.2603	18.15015609	68.3367
cephalexin	-2.192	347.093977024	0	5	2.34	2	8	4	26	1	41	6	6	0.3025	0.0915062500000003	88.1786
cephaloridine	1.305	415.066048024	0	7	2.56	2	8	3	31	1	45	11	11	-1.0642	1.13252164	100.5325
cephalothin	-0.203	396.044978232	0	8	2.12	2	8	4	28	0	42	5	5	0.486099999999999	0.236293209999999	94.9433
cephradine	-2.462	349.109627088001	0	5	2.34	2	8	4	26	1	43	0	0	-0.2481	0.0615536099999998	91.6186
ceritinib	6.546	557.222738692001	1	9	3.44	0	24	4	41	1	74	18	18	3.0885	9.53883225	149.6664
cerivastatin	3.421	459.551250011447	1	11	3.55	7	14	8	34	0	67	12	12	4.1793	17.46654849	126.8232
cetirizine	2.805	388.155370340001	0	8	3.11	2	6	6	29	2	52	12	12	3.5901	12.88881801	106.7914
cetostearyl_alcohol	8.817	270.292265836	2	16	3.33	18	0	19	18	0	57	0	0	-5.0054	25.05402916	59.7611
cetrimide	6.912	256.490962097812	2	13	3.22	14	0	16	17	2	56	0	0	4.856	23.580736	82.67
cetrorelix	1.52499999999999	1429.669818304	3	50	5.64	5	10	31	107	3	194	29	28	-3.5472	12.58262784	347.6445
cetylpyridinium	10.419	304.300425216001	2	15	3.66	16	6	16	22	1	60	6	6	-4.7954	22.99586116	70.8813
cevimeline	1.295	199.103085164	0	0	2.23	0	0	0	15	1	30	0	0	-0.1976	0.0390457600000002	50.5442
charcoal	0.739	12	0	0	1.57	0	0	0	0	0	1	0	0	0	0	0
chenodeoxycholate	6.178	392.572911386221	1	4	3.66	5	3	6	31	0	68	0	0	3.9893	15.91451449	109.2724
chitosan	-17.581	1526.45622890271	4	28	2.34	0	4	4	112	8	207	0	0	-18.4304	339.67964416	321.2147
chlorambucil	3.926	303.079284208001	0	9	2.45	4	7	7	19	0	38	6	6	2.7362	7.48679044000001	78.2578
chloramphenicol	-1.079	419.979706388	0	7	1.13	3	9	7	24	0	39	6	6	1.168	1.364224	80.3202
chlorcyclizine	3.613	300.139326352001	0	3	3.11	0	6	0	23	2	42	12	12	4.2649	18.18937201	89.6633
chlordiazepoxide	2.362	299.082539748	0	2	2.67	0	18	2	23	2	35	12	12	2.8028	7.85568784	80.314
chlorhexidine	6.514	504.203196320001	3	17	2.56	6	13	16	35	10	64	12	12	3.212	10.316944	121.1274
chloride_hexahydrate	-2.29	143.54465618951	1	0	0.69	0	0	0	0	0	19	0	0	-2.6737	7.14867169	0
chloride_ion	0.512	34.96885268	0	0	1.35	0	0	0	0	0	1	0	0	NA	NA	NA
chlorine	4.926	596.263484872001	0	8	4.1	3	27	4	48	0	80	22	20	5.7794	33.40146436	168.119
chlormadinone	2.65	362.164872404001	0	1	3.33	0	6	3	28	0	52	0	0	1.107	1.225449	99.6415
chlormethiazole	1.598	161.006597936	0	2	1.79	2	5	3	9	0	17	5	5	1.4738	2.17208644	40.8414
chlormezanone	1.299	273.022641924	0	1	2.01	0	6	0	18	0	29	6	6	1.6869	2.84563161	64.5455
chlorobutanol	2.214	175.956247884	0	1	1.46	3	0	4	7	0	15	0	0	1.822	3.319684	37.2716
chlorocresol	2.464	142.018542524	0	0	2.01	0	7	0	9	0	16	6	6	2.7132	7.36145424	37.5981
chloroform	2.074	119.377489385166	0	0	1.24	0	0	3	3	0	5	0	0	1.6172	2.61533584	21.3642
chloroprocaine	2.462	270.113505528	0	7	2.34	2	10	8	18	1	37	6	6	2.3794	5.66154436	74.1201
chloropyramine	3.892	289.134575320001	0	6	2.78	2	7	6	21	1	40	12	12	3.535	12.496225	85.9542
chloroquine	4.268	319.181525512001	0	8	3	5	11	8	23	1	48	11	10	2.7148	7.37013904	93.1013
chlorothiazide	-0.5	294.948825352	0	1	1.13	0	16	3	18	2	23	6	6	0.4257	0.18122049	56.3522
chlorotrianisene	6.414	380.117922212001	1	6	3.55	2	23	3	29	0	48	18	18	5.9965	35.95801225	109.7703
chloroxine	2.963	212.97481914	0	0	2.01	0	11	0	14	0	18	11	10	3.1229	9.75250441	52.4672
chloroxylenol	2.69	156.034192588	0	0	2.12	0	7	0	10	0	19	6	6	3.1994	10.23616036	42.6393
chlorphenesin	1.04	245.045485544	0	6	1.9	3	7	7	16	0	28	6	6	1.9316	3.73107856	55.7339
chlorpheniramine	3.238	274.788992663554	0	5	2.89	3	6	5	20	1	38	12	12	3.6966	13.66485156	80.8499
chlorphenoxamine	4.294	303.138992004001	0	6	3.11	2	6	7	22	1	43	12	12	4.3817	19.19929489	89.2943
chlorpromazine	4.923	318.095747288001	0	4	2.89	3	13	5	23	1	40	12	12	4.7717	22.76912089	91.5772
chlorpropamide	1.8	276.033540956	0	6	1.79	3	13	8	17	0	30	6	6	1.2749	1.62537001	61.0514
chlorprothixene	5.186	315.084848256	1	3	3.11	3	14	5	23	1	39	12	12	4.6422	21.55002084	93.5637
chlorquinaldol	3.278	228.074927535634	0	0	2.12	0	11	0	15	0	21	11	10	3.3603	11.29161609	55.8745
chlortetracycline	0.841	478.114293376001	1	2	2.67	0	12	3	36	1	56	6	6	-0.8407	0.706776489999999	115.668
chlorthalidone	1.29	338.012805512	0	2	2.12	0	10	3	24	0	33	12	12	1.9132	3.66033424	77.5661
chlorzoxazone	1.613	168.993056048	0	0	1.79	0	10	0	12	0	15	10	9	2.2236	4.94439696	36.0841
cholecalciferol	9.896	384.339216028001	1	6	4.32	7	6	7	30	0	72	0	0	1.7669	3.12193561	117.3685
cholesterol	10.518	386.354866092001	1	5	4.32	7	2	7	31	0	74	0	0	1.5548	2.41740304	115.1746
cholestyramine_resin	6.27	331.206677640001	1	6	3.55	4	7	4	23	2	53	12	12	NA	NA	NA
choline	-0.837	104.107539068	0	2	1.79	2	0	5	6	2	21	0	0	-1.5741	2.47779081	29.0791
choline_fenofibrate	2.813	421.165600676001	0	7	3.11	3	15	5	29	2	57	12	12	2.1371	4.56719641	109.8432
chondroitin_sulfate_chicken	-4.457	463.3701846022	2	7	1.02	2	5	3	31	0	51	0	0	-4.7279	22.35303841	84.7086
chondroitin_sulfates	-4.247	531.162175736001	3	12	1.79	0	4	3	36	0	68	0	0	-5.4782	30.01067524	109.0767
chromium	0	51.996133070619	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
chromium_picolinate	-0.0209999999999993	418.301207445237	0	3	2.34	0	9	3	27	0	40	18	18	0.1035	0.0107122499999999	84.0291
ciclesonide	4.295	540.308703748001	0	6	4.21	3	6	7	44	0	83	0	0	-0.434800000000002	0.189051040000002	139.2477
cicletanine	2.272	261.055656304	0	1	2.56	0	7	0	20	0	30	12	12	3.0857	9.52154449	69.629
ciclopirox	2.313	207.125928784	0	1	2.45	0	8	0	16	0	32	6	6	1.0099	1.01989801	48.7119
cidofovir	-3.556	279.062021798	0	6	1.24	3	8	7	18	0	32	6	6	-1.0011	1.00220121	58.108
cifenline	3.047	378.157957184001	0	5	3.22	4	8	6	30	2	50	12	12	2.2523	5.07285528999999	104.7341
cilastatin	-0.516	358.156242932001	1	12	2.34	7	8	14	24	1	50	0	0	-0.616299999999998	0.379825689999998	88.5651
cilazapril	2.155	417.226371092001	0	9	3	4	6	7	32	1	61	6	6	-1.1717	1.37288089	101.5543
cilostazol	3.477	369.216475104001	0	7	2.89	4	10	5	30	0	54	11	11	-1.388	1.926544	93.6426
cimetidine	0.859	252.115715512	0	7	1.79	2	6	9	17	3	33	5	5	0.7791	0.60699681	69.8085
cinacalcet	6.477	357.170434364001	1	7	3.44	3	10	6	28	1	48	17	16	4.5656	20.84470336	98.7039
cinitapride	4.023	402.488108985743	0	8	2.89	2	14	3	31	1	59	6	6	2.3733	5.63255289	115.0841
cinnarizine	5.303	368.225248896001	1	6	4.1	3	8	3	31	2	56	18	18	5.5244	30.51899536	119.8648
cinoxacin	1.441	262.218669351633	0	2	2.01	2	16	3	21	0	29	6	6	1.3914	1.93599396	64.1056
ciprofibrate	3.184	288.031999668	0	4	2.34	3	7	4	19	0	32	6	6	2.9467	8.68304088999999	69.1105
ciprofloxacin	2.492	331.133219656	0	3	2.56	0	15	3	27	1	42	11	10	1.235	1.525225	79.5149
cisapride	2.811	483.193626992001	0	10	2.89	3	11	4	34	1	64	12	12	2.7075	7.33055625	117.9269
cisatracurium	6.436	928.508525744002	2	26	5.75	5	8	13	72	4	139	24	24	4.2182	17.79321124	248.0848
cisplatin	0.093	298.028852466056	0	0	0.91	0	0	3	4	0	9	0	0	-0.2198	0.04831204	22.8408
citalopram	3.537	324.163791512001	0	5	3.22	3	8	5	26	1	45	12	12	3.174	10.074276	91.6136
citicoline	-4.899	489.115155944001	1	10	1.13	2	9	10	32	2	58	6	6	-2.8086	7.88823396	99.1453
citrate	2.766	360.214803364001	1	17	2.67	5	3	15	24	0	57	0	0	-2.4882	6.19113924	82.1434
citric_acid	-2.247	192.027002596	0	5	1.35	5	3	7	12	0	21	0	0	-1.395	1.946025	35.6239
citrulline	-3.909	175.095691276	0	6	1.46	5	4	9	11	1	25	0	0	-2.3389	5.47045320999999	35.2422
cladribine	-0.105	285.062866924	0	2	1.57	0	10	2	21	0	31	10	9	-1.2795	1.63712025	67.0499
